Type,Fatal Crash Number,Number of Fatalities,Case Number,Location,Area,Date,Month,Day,Hour,Time,Related,Killed driver pass,Speeding,Ran Red Light or Stop Sign,DL Status incident,Suspected Impairment,Restraint type,Type of road,Failure to stop and render aid,X coord,Y coord,Homeless
Motor Vehicle,68,1,19-2990061,9700 N IH 35 NB,ED,October 26 2019,Oct,Sat,0,00:23,MV/FO,Driver,,false,ok,driver,unknown,Other Highway,false,-97.774224,30.474036,false
Motor Vehicle,69,1,19-3000691,10700 Burnet Rd.,AD,October 27 2019,Oct,Sun,8,08:44,MV/ROR,passenger,true,false,Ok,none,no seatbelt,high use road,false,-97.721752,30.391173,false
Motor Vehicle,70,1,19-3020781,4800 N IH 35 SVRD SB,BA,October 29 2019,Oct,Tue,13,13:37,MV/FO,driver,true,false,suspended,driver,seatbelts worn,I35,false,-97.712186,30.307096,false
Pedestrian,71,1,19-3102011,1413 W William Cannon,FR,November 06 2019,Nov,Wed,21,21:41,MV/PED,n/a,false,false,Ok,ped,n/a,high use road,false,-97.798951,30.20037,false
Pedestrian,72,1,19-3181630,1100 E 51st St,ID,November 14 2019,Nov,Thu,20,20:36,MV/PED,n/a,false,false,ok,none,n/a,high use road,false,-97.709755,30.309108,false
Motor Vehicle,73,1,19-3200312,8300 E US 290 SVRD EB,CH,November 16 2019,Nov,Sat,5,05:01,MV/FO,driver,true,false,Ok,driver,no seatbelt,Other Highway,false,-97.665486,30.327217,false
Motor Vehicle,74,1,19-3201421,5808 Burnet Rd,BA,November 16 2019,Nov,Sat,19,19:05,MV/MC,driver,true,false,ok,none,no helmet,high use road,false,-97.739859,30.334491,false
Pedestrian,75,1,19-3251584,800 Block E William Cannon Dr,FR,November 21 2019,Nov,Thu,19,19:18,MV/ped,n/a,false,false,ok,ped,n/a,high use road,false,-97.771914,30.190949,true
Motorcycle,76,1,19-3281398,1100 E Ben White Blvd Svrd WB,DA,November 24 2019,Nov,Sun,19,19:15,Mv/MC,driver,true,false,ok,driver,helmet worn,Other Highway,false,-97.75373,30.217431,false
Motor Vehicle,77,1,19-3341784,8500 S Congress ve,FR,November 30 2019,Nov,Sat,23,23:41,MV/MV,passenger,false,false,ok,driver,seatbelts worn,Local Street,false,-97.785229,30.17311,false
Motor Vehicle,78,1,19-3161144,6700 Johnny Morris,CH,November 12 2019,Nov,Tue,16,16:34,MV/MV,passenger,,false,no dl,none,unk,Local Street,false,-97.648197,30.300272,false
Motor Vehicle,79,1,19-3400361,8700 W SH 71,DA,December 06 2019,Dec,Fri,6,06:53,MV/MV,driver,false,false,Ok,driver,seatbelts worn,Other Highway,false,-97.895508,30.250479,false
Motor Vehicle,80,1,19-3411777,9700 N IH 35 NB,ED,December 07 2019,Dec,Sat,21,21:29,MV/18 Wheeler,driver,false,false,Ok,driver,seatbelts worn,IH 35,false,-97.685394,30.362224,false
Pedestrian,81,1,19-3471756,2000 E Oltorf St,HE,December 13 2019,Dec,Fri,19,19:34,MV/Ped,N/A,false,false,ok,none,n/a,Local Street,false,-97.733366,30.230846,
Pedestrian,82,1,19-3500150,6100 Cameron Rd,ID,December 16 2019,Dec,Mon,2,02:26,MV/ped,n/a,,false,unk,unknown,n/a,Local Street,true,-97.697831,30.318902,true
Motor Vehicle,83,1,19-3510124,100 E Ben White Blvd SVRD EB,DA,December 17 2019,Dec,Tue,4,04:44,MV/FO,driver,true,false,Ok,driver,seatbelts worn,Other Highway,false,-97.763598,30.223409,false
Pedestrian,84,1,19-3530313,7600 W SH 71,DA,December 19 2019,Dec,Thu,6,06:53,MV/ped,n/a,false,false,pending,none,n/a,Other Highway,false,-97.880916,30.240668,false
Pedestrian,85,1,19-3560188,11200 Dessau,ED,December 22 2019,Dec,Sun,2,02:25,MV/ped,n/a,false,false,ok,none,n/a,high use road,false,-97.665833,30.3725,false
Pedestrian,86,1,19-3651208,6729 Manor,CH,December 31 2019,Dec,Tue,18,16:11,MV/ped,n/a,false,false,pending,ped,n/a,high use road,false,-97.66682,30.310396,true
