Type,# Fat,Date,Month,Day,Hour,Time,x,y,Year
Motor Vehicle,1,2014-07-02,7,3,12,12:08:00,-97.772948,30.492195,2014
Motorcycle,1,2014-07-05,7,6,1,01:16:00,-97.752327,30.21657,2014
Motor Vehicle,1,2014-07-27,7,7,7,07:13:00,-97.803295,30.479426,2014
18 Wheeler,1,2014-07-30,7,3,3,03:24:00,-97.673681,30.383648,2014
Motorcycle,1,2014-08-05,8,2,13,13:29:00,-97.787876,30.449519,2014
Pedestrian,1,2014-08-07,8,4,20,20:32:00,-97.694928,30.346835,2014
Motor Vehicle,1,2014-08-10,8,7,21,21:25:00,-97.733163,30.269471,2014
Motorcycle,1,2014-08-12,8,1,18,18:56:00,-97.631734,30.376003,2014
Motorcycle,1,2014-08-15,8,5,3,03:56:00,-97.713716,30.260915,2014
Motor Vehicle,1,2014-08-24,8,7,5,05:53:00,-97.760208,30.22965,2014
Motor Vehicle,1,2014-08-30,8,6,5,05:19:00,-97.68433,30.321963,2014
Motor Vehicle,1,2014-09-07,9,7,0,00:49:00,-97.736236,30.250729,2014
Motor Vehicle,1,2014-09-13,9,6,3,03:18:00,-97.735467,30.243563,2014
Motor Vehicle,1,2014-09-14,9,7,0,00:05:00,-97.682959,30.229497,2014
Motor Vehicle,1,2014-07-22,7,2,13,13:52:00,-97.638374,30.207249,2014
Motor Vehicle,1,2014-10-23,10,4,12,12:07:00,-97.747558,30.409549,2014
Motor Vehicle,1,2014-10-25,10,6,0,00:53:00,-97.6979,30.382712,2014
Motor Vehicle,1,2014-10-29,10,3,20,20:46:00,-97.590688,30.341126,2014
Motor Vehicle,1,2014-10-31,10,5,12,12:32:00,-97.686689,30.411388,2014
Pedestrian,1,2014-11-01,11,6,4,04:14:00,-97.706751,30.414121,2014
Motor Vehicle,1,2014-10-11,10,6,16,16:59:00,-97.793049,30.167559,2014
Pedestrian,1,2014-11-08,11,6,22,22:12:00,-97.663108,30.315469,2014
18 Wheeler,1,2014-11-11,11,2,22,22:19:00,-97.728661,30.374358,2014
Pedestrian,1,2014-11-20,11,4,21,21:50:00,-97.707256,30.344719,2014
Motorcycle,1,2014-11-23,11,7,13,13:06:00,-97.84266,30.428784,2014
Motorcycle,1,2014-11-24,11,1,18,18:55:00,-97.663369,30.414338,2014
Motor Vehicle,1,2014-11-30,11,7,3,03:32:00,-97.720396,30.232393,2014
Pedestrian,1,2014-12-03,12,3,18,18:37:00,-97.785677,30.200544,2014
Motor Vehicle,1,2014-12-20,12,6,4,04:28:00,-97.798418,30.185692,2014
Motor Vehicle,1,2014-12-27,12,6,15,15:44:00,-97.623452,30.194506,2014
Motor Vehicle,1,2015-01-06,1,2,17,17:15,-97.715944,30.32067,2015
Pedestrian,1,2015-01-07,1,3,18,18:36,-97.673245,30.385484,2015
Pedestrian,1,2015-01-10,1,6,3,03:10,-97.67851,30.323619,2015
Motorcycle,1,2015-01-13,1,2,21,21:30,-97.718725,30.232049,2015
Motor Vehicle,1,2015-01-15,1,4,1,01:41,-97.695498,30.309187,2015
Pedestrian,1,2015-01-18,1,7,19,19:37,-97.784913,30.174156,2015
